evaluation_episode,evaluation_seed,return,length,success
1,10000,-172.0,172,1
2,10001,-93.0,93,1
3,10002,-101.0,101,1
4,10003,-95.0,95,1
5,10004,-87.0,87,1
6,10005,-151.0,151,1
7,10006,-149.0,149,1
8,10007,-88.0,88,1
9,10008,-134.0,134,1
10,10009,-173.0,173,1
11,10010,-148.0,148,1
12,10011,-169.0,169,1
13,10012,-148.0,148,1
14,10013,-162.0,162,1
15,10014,-148.0,148,1
16,10015,-167.0,167,1
17,10016,-148.0,148,1
18,10017,-110.0,110,1
19,10018,-162.0,162,1
20,10019,-97.0,97,1
21,10020,-148.0,148,1
22,10021,-150.0,150,1
23,10022,-93.0,93,1
24,10023,-98.0,98,1
25,10024,-146.0,146,1
26,10025,-104.0,104,1
27,10026,-85.0,85,1
28,10027,-153.0,153,1
29,10028,-152.0,152,1
30,10029,-147.0,147,1
31,10030,-152.0,152,1
32,10031,-146.0,146,1
33,10032,-84.0,84,1
34,10033,-148.0,148,1
35,10034,-200.0,200,0
36,10035,-146.0,146,1
37,10036,-148.0,148,1
38,10037,-170.0,170,1
39,10038,-86.0,86,1
40,10039,-146.0,146,1
41,10040,-157.0,157,1
42,10041,-111.0,111,1
43,10042,-97.0,97,1
44,10043,-89.0,89,1
45,10044,-107.0,107,1
46,10045,-95.0,95,1
47,10046,-170.0,170,1
48,10047,-110.0,110,1
49,10048,-197.0,197,1
50,10049,-178.0,178,1
51,10050,-155.0,155,1
52,10051,-151.0,151,1
53,10052,-173.0,173,1
54,10053,-161.0,161,1
55,10054,-97.0,97,1
56,10055,-152.0,152,1
57,10056,-159.0,159,1
58,10057,-155.0,155,1
59,10058,-152.0,152,1
60,10059,-152.0,152,1
61,10060,-162.0,162,1
62,10061,-191.0,191,1
63,10062,-87.0,87,1
64,10063,-151.0,151,1
65,10064,-84.0,84,1
66,10065,-150.0,150,1
67,10066,-152.0,152,1
68,10067,-104.0,104,1
69,10068,-87.0,87,1
70,10069,-84.0,84,1
71,10070,-148.0,148,1
72,10071,-163.0,163,1
73,10072,-154.0,154,1
74,10073,-86.0,86,1
75,10074,-89.0,89,1
76,10075,-155.0,155,1
77,10076,-98.0,98,1
78,10077,-161.0,161,1
79,10078,-110.0,110,1
80,10079,-151.0,151,1
81,10080,-152.0,152,1
82,10081,-87.0,87,1
83,10082,-132.0,132,1
84,10083,-160.0,160,1
85,10084,-147.0,147,1
86,10085,-164.0,164,1
87,10086,-173.0,173,1
88,10087,-151.0,151,1
89,10088,-105.0,105,1
90,10089,-96.0,96,1
91,10090,-152.0,152,1
92,10091,-155.0,155,1
93,10092,-147.0,147,1
94,10093,-86.0,86,1
95,10094,-149.0,149,1
96,10095,-97.0,97,1
97,10096,-163.0,163,1
98,10097,-174.0,174,1
99,10098,-174.0,174,1
100,10099,-102.0,102,1
