episode,env_step,return,length,success,epsilon,gradient_steps_so_far,latest_loss
1,200,0.0,200,0,0.9960399,0,
2,400,0.0,200,0,0.9920599,0,
3,600,0.0,200,0,0.9880799,0,
4,800,0.0,200,0,0.9840999,0,
5,1000,0.0,200,0,0.9801199,1,0.0046982550993561745
6,1200,0.0,200,0,0.9761399,201,2.481422711753112e-07
7,1400,0.0,200,0,0.9721599,401,1.9295779907224642e-07
8,1600,0.0,200,0,0.9681799,601,1.192357075296968e-07
9,1800,0.0,200,0,0.9641999,801,1.3624537587020313e-07
10,2000,0.0,200,0,0.9602199,1001,1.3442222268622572e-07
11,2200,0.0,200,0,0.9562399,1201,6.404589214525913e-08
12,2400,0.0,200,0,0.9522599,1401,5.440705308501492e-08
13,2600,0.0,200,0,0.9482799,1601,1.7347760206121166e-07
14,2800,0.0,200,0,0.9442999,1801,4.453395163750429e-08
15,3000,0.0,200,0,0.9403199,2001,5.19325169534568e-08
16,3200,0.0,200,0,0.9363399,2201,2.768136297959245e-08
17,3400,0.0,200,0,0.9323599,2401,5.067923680712738e-08
18,3600,0.0,200,0,0.9283799,2601,7.616334585236473e-08
19,3800,0.0,200,0,0.9243999,2801,3.7372753780573476e-08
20,4000,0.0,200,0,0.9204199,3001,7.012422997831891e-08
21,4200,0.0,200,0,0.9164399,3201,2.7565688398567545e-08
22,4400,0.0,200,0,0.9124599,3401,7.401521884276008e-08
23,4600,0.0,200,0,0.9084799,3601,4.808723019777972e-08
24,4800,0.0,200,0,0.9044999,3801,1.7823627018742627e-08
25,5000,0.0,200,0,0.9005199,4001,3.7119426110621134e-07
26,5200,0.0,200,0,0.8965399000000001,4201,5.77907783849696e-08
27,5400,0.0,200,0,0.8925599,4401,3.4475554855362134e-08
28,5600,0.0,200,0,0.8885799,4601,4.1487484736535407e-07
29,5800,0.0,200,0,0.8845999,4801,1.891700662781659e-08
30,6000,0.0,200,0,0.8806199,5001,1.966439278078269e-08
31,6200,0.0,200,0,0.8766399,5201,9.453192895136908e-09
32,6400,0.0,200,0,0.8726598999999999,5401,1.978026773485908e-07
33,6600,0.0,200,0,0.8686799000000001,5601,5.783932444103357e-09
34,6800,0.0,200,0,0.8646999,5801,7.320478800920682e-08
35,7000,0.0,200,0,0.8607199,6001,2.3242270330570136e-08
36,7200,0.0,200,0,0.8567399,6201,3.382077196079081e-08
37,7400,0.0,200,0,0.8527599,6401,5.203486352911568e-08
38,7600,0.0,200,0,0.8487799,6601,1.1404687683125303e-07
39,7800,0.0,200,0,0.8447998999999999,6801,5.139082404070905e-08
40,8000,0.0,200,0,0.8408199,7001,1.6866563612438767e-07
41,8200,0.0,200,0,0.8368399,7201,3.505741688059061e-07
42,8400,0.0,200,0,0.8328599,7401,9.325329841658458e-09
43,8600,0.0,200,0,0.8288799,7601,1.2092186807421967e-07
44,8800,0.0,200,0,0.8248999,7801,3.948672500087014e-08
45,9000,0.0,200,0,0.8209199,8001,1.2957324102558232e-08
