evaluation_episode,evaluation_seed,return,length,success
1,10000,-117.0,117,1
2,10001,-154.0,154,1
3,10002,-118.0,118,1
4,10003,-117.0,117,1
5,10004,-91.0,91,1
6,10005,-113.0,113,1
7,10006,-112.0,112,1
8,10007,-91.0,91,1
9,10008,-117.0,117,1
10,10009,-117.0,117,1
11,10010,-112.0,112,1
12,10011,-117.0,117,1
13,10012,-111.0,111,1
14,10013,-118.0,118,1
15,10014,-112.0,112,1
16,10015,-118.0,118,1
17,10016,-112.0,112,1
18,10017,-117.0,117,1
19,10018,-118.0,118,1
20,10019,-118.0,118,1
21,10020,-112.0,112,1
22,10021,-112.0,112,1
23,10022,-154.0,154,1
24,10023,-118.0,118,1
25,10024,-111.0,111,1
26,10025,-117.0,117,1
27,10026,-89.0,89,1
28,10027,-114.0,114,1
29,10028,-114.0,114,1
30,10029,-111.0,111,1
31,10030,-114.0,114,1
32,10031,-111.0,111,1
33,10032,-87.0,87,1
34,10033,-112.0,112,1
35,10034,-117.0,117,1
36,10035,-111.0,111,1
37,10036,-111.0,111,1
38,10037,-117.0,117,1
39,10038,-90.0,90,1
40,10039,-111.0,111,1
41,10040,-118.0,118,1
42,10041,-117.0,117,1
43,10042,-118.0,118,1
44,10043,-93.0,93,1
45,10044,-117.0,117,1
46,10045,-117.0,117,1
47,10046,-117.0,117,1
48,10047,-117.0,117,1
49,10048,-117.0,117,1
50,10049,-117.0,117,1
51,10050,-116.0,116,1
52,10051,-113.0,113,1
53,10052,-117.0,117,1
54,10053,-118.0,118,1
55,10054,-118.0,118,1
56,10055,-114.0,114,1
57,10056,-118.0,118,1
58,10057,-116.0,116,1
59,10058,-114.0,114,1
60,10059,-114.0,114,1
61,10060,-118.0,118,1
62,10061,-117.0,117,1
63,10062,-91.0,91,1
64,10063,-114.0,114,1
65,10064,-87.0,87,1
66,10065,-113.0,113,1
67,10066,-114.0,114,1
68,10067,-117.0,117,1
69,10068,-92.0,92,1
70,10069,-87.0,87,1
71,10070,-112.0,112,1
72,10071,-118.0,118,1
73,10072,-115.0,115,1
74,10073,-90.0,90,1
75,10074,-93.0,93,1
76,10075,-115.0,115,1
77,10076,-118.0,118,1
78,10077,-118.0,118,1
79,10078,-117.0,117,1
80,10079,-113.0,113,1
81,10080,-114.0,114,1
82,10081,-91.0,91,1
83,10082,-117.0,117,1
84,10083,-118.0,118,1
85,10084,-111.0,111,1
86,10085,-118.0,118,1
87,10086,-117.0,117,1
88,10087,-113.0,113,1
89,10088,-117.0,117,1
90,10089,-117.0,117,1
91,10090,-114.0,114,1
92,10091,-116.0,116,1
93,10092,-111.0,111,1
94,10093,-90.0,90,1
95,10094,-112.0,112,1
96,10095,-118.0,118,1
97,10096,-118.0,118,1
98,10097,-117.0,117,1
99,10098,-117.0,117,1
100,10099,-118.0,118,1
