episode,env_step,return,length,success,epsilon,greedy_actions,exploratory_actions,condition_triggers,gradient_steps_so_far,latest_loss
1,200,-200.0,200,0,0.9960399,1,199,0,0,
2,400,-200.0,200,0,0.9920599,0,200,0,0,
3,600,-200.0,200,0,0.9880799,1,199,0,0,
4,800,-200.0,200,0,0.9840999,4,196,0,0,
5,1000,-200.0,200,0,0.9801199,5,195,0,1,0.451193243265152
6,1200,-200.0,200,0,0.9761399,4,196,1,201,0.0002479147515259683
7,1400,-200.0,200,0,0.9721599,3,197,0,401,0.00016186641005333513
8,1600,-200.0,200,0,0.9681799,5,195,0,601,0.0001228867913596332
9,1800,-200.0,200,0,0.9641999,10,190,0,801,0.00019473063002806157
10,2000,-200.0,200,0,0.9602199,10,190,0,1001,0.00012395727389957756
11,2200,-200.0,200,0,0.9562399,12,188,0,1201,0.00019948910630773753
12,2400,-200.0,200,0,0.9522599,13,187,0,1401,8.5074185335543e-05
13,2600,-200.0,200,0,0.9482799,17,183,0,1601,8.116806566249579e-05
14,2800,-200.0,200,0,0.9442999,11,189,0,1801,1.325004268437624e-05
15,3000,-200.0,200,0,0.9403199,5,195,0,2001,3.944015043089166e-05
16,3200,-200.0,200,0,0.9363399,21,179,0,2201,4.114322655368596e-05
17,3400,-200.0,200,0,0.9323599,11,189,0,2401,1.837427043938078e-05
18,3600,-200.0,200,0,0.9283799,18,182,0,2601,3.2479772926308215e-05
19,3800,-200.0,200,0,0.9243999,19,181,0,2801,3.2015912438509986e-05
20,4000,-200.0,200,0,0.9204199,10,190,0,3001,2.6013429305749014e-05
21,4200,-200.0,200,0,0.9164399,17,183,0,3201,3.9632512198295444e-05
22,4400,-200.0,200,0,0.9124599,19,181,0,3401,1.9313989469083026e-05
23,4600,-200.0,200,0,0.9084799,14,186,0,3601,3.805066808126867e-05
24,4800,-200.0,200,0,0.9044999,19,181,0,3801,3.717928484547883e-05
25,5000,-200.0,200,0,0.9005199,21,179,0,4001,4.901645297650248e-05
26,5200,-200.0,200,0,0.8965399000000001,23,177,0,4201,4.2162231693509966e-05
27,5400,-200.0,200,0,0.8925599,23,177,0,4401,1.8434846424497664e-05
28,5600,-200.0,200,0,0.8885799,18,182,0,4601,1.9703795260284096e-05
29,5800,-200.0,200,0,0.8845999,33,167,0,4801,2.2918276954442263e-05
30,6000,-200.0,200,0,0.8806199,21,179,0,5001,2.4687200493644923e-05
31,6200,-200.0,200,0,0.8766399,28,172,0,5201,2.220601891167462e-05
32,6400,-200.0,200,0,0.8726598999999999,24,176,0,5401,1.433649958926253e-05
33,6600,-200.0,200,0,0.8686799000000001,28,172,0,5601,2.2221909603103995e-05
34,6800,-200.0,200,0,0.8646999,28,172,0,5801,1.987249925150536e-05
35,7000,-200.0,200,0,0.8607199,28,172,0,6001,2.0794175725313835e-05
36,7200,-200.0,200,0,0.8567399,25,175,0,6201,1.1567633919185027e-05
37,7400,-200.0,200,0,0.8527599,28,172,0,6401,3.338247915962711e-05
38,7600,-200.0,200,0,0.8487799,30,170,0,6601,1.6418569430243224e-05
39,7800,-200.0,200,0,0.8447998999999999,23,177,0,6801,2.4638688046252355e-05
40,8000,-200.0,200,0,0.8408199,39,161,0,7001,2.876122744055465e-05
41,8200,-200.0,200,0,0.8368399,35,165,0,7201,1.00011529866606e-05
42,8400,-200.0,200,0,0.8328599,29,171,0,7401,2.0560153643600643e-05
43,8600,-200.0,200,0,0.8288799,37,163,0,7601,1.7320997358183376e-05
44,8800,-200.0,200,0,0.8248999,35,165,0,7801,4.307797644287348e-05
45,9000,-200.0,200,0,0.8209199,34,166,0,8001,4.923998858430423e-06
46,9200,-200.0,200,0,0.8169398999999999,33,167,0,8201,4.2428026063134894e-05
47,9400,-200.0,200,0,0.8129599,35,165,0,8401,2.343327651033178e-06
48,9600,-200.0,200,0,0.8089799,35,165,0,8601,1.543716643936932e-05
49,9800,-200.0,200,0,0.8049999,37,163,0,8801,6.49044886813499e-05
50,10000,-200.0,200,0,0.8010199,38,162,0,9001,3.6146226193523034e-05
51,10200,-200.0,200,0,0.7970399,41,159,0,9201,6.196956383064389e-05
52,10400,-200.0,200,0,0.7930599,41,159,0,9401,2.3453392714145593e-05
53,10600,-200.0,200,0,0.7890799,36,164,0,9601,3.7622412492055446e-05
54,10800,-200.0,200,0,0.7850999,46,154,0,9801,2.2784983229939826e-05
55,11000,-200.0,200,0,0.7811199,48,152,0,10001,3.650649159681052e-05
56,11200,-200.0,200,0,0.7771399,56,144,0,10201,1.5014208656793926e-05
57,11400,-200.0,200,0,0.7731599,35,165,0,10401,1.8562728655524552e-05
58,11600,-200.0,200,0,0.7691799,37,163,0,10601,4.318363426136784e-05
