evaluation_episode,evaluation_seed,return,length,success
1,10000,-160.0,160,1
2,10001,-97.0,97,1
3,10002,-105.0,105,1
4,10003,-98.0,98,1
5,10004,-91.0,91,1
6,10005,-109.0,109,1
7,10006,-109.0,109,1
8,10007,-91.0,91,1
9,10008,-175.0,175,1
10,10009,-161.0,161,1
11,10010,-109.0,109,1
12,10011,-158.0,158,1
13,10012,-110.0,110,1
14,10013,-154.0,154,1
15,10014,-109.0,109,1
16,10015,-157.0,157,1
17,10016,-110.0,110,1
18,10017,-120.0,120,1
19,10018,-153.0,153,1
20,10019,-100.0,100,1
21,10020,-110.0,110,1
22,10021,-109.0,109,1
23,10022,-97.0,97,1
24,10023,-102.0,102,1
25,10024,-109.0,109,1
26,10025,-109.0,109,1
27,10026,-89.0,89,1
28,10027,-109.0,109,1
29,10028,-109.0,109,1
30,10029,-110.0,110,1
31,10030,-109.0,109,1
32,10031,-110.0,110,1
33,10032,-88.0,88,1
34,10033,-110.0,110,1
35,10034,-172.0,172,1
36,10035,-109.0,109,1
37,10036,-110.0,110,1
38,10037,-160.0,160,1
39,10038,-91.0,91,1
40,10039,-109.0,109,1
41,10040,-108.0,108,1
42,10041,-122.0,122,1
43,10042,-101.0,101,1
44,10043,-93.0,93,1
45,10044,-112.0,112,1
46,10045,-98.0,98,1
47,10046,-160.0,160,1
48,10047,-120.0,120,1
49,10048,-170.0,170,1
50,10049,-163.0,163,1
51,10050,-108.0,108,1
52,10051,-109.0,109,1
53,10052,-161.0,161,1
54,10053,-108.0,108,1
55,10054,-100.0,100,1
56,10055,-109.0,109,1
57,10056,-108.0,108,1
58,10057,-108.0,108,1
59,10058,-109.0,109,1
60,10059,-109.0,109,1
61,10060,-153.0,153,1
62,10061,-168.0,168,1
63,10062,-91.0,91,1
64,10063,-109.0,109,1
65,10064,-88.0,88,1
66,10065,-109.0,109,1
67,10066,-109.0,109,1
68,10067,-109.0,109,1
69,10068,-91.0,91,1
70,10069,-88.0,88,1
71,10070,-109.0,109,1
72,10071,-154.0,154,1
73,10072,-109.0,109,1
74,10073,-90.0,90,1
75,10074,-93.0,93,1
76,10075,-108.0,108,1
77,10076,-102.0,102,1
78,10077,-108.0,108,1
79,10078,-119.0,119,1
80,10079,-109.0,109,1
81,10080,-109.0,109,1
82,10081,-91.0,91,1
83,10082,-176.0,176,1
84,10083,-108.0,108,1
85,10084,-109.0,109,1
86,10085,-155.0,155,1
87,10086,-161.0,161,1
88,10087,-109.0,109,1
89,10088,-109.0,109,1
90,10089,-100.0,100,1
91,10090,-109.0,109,1
92,10091,-108.0,108,1
93,10092,-109.0,109,1
94,10093,-91.0,91,1
95,10094,-109.0,109,1
96,10095,-101.0,101,1
97,10096,-154.0,154,1
98,10097,-161.0,161,1
99,10098,-161.0,161,1
100,10099,-106.0,106,1
