episode,env_step,return,length,success,epsilon,gradient_steps_so_far,latest_loss
1,200,-200.0,200,0,0.9960399,0,
2,400,-200.0,200,0,0.9920599,0,
3,600,-200.0,200,0,0.9880799,0,
4,800,-200.0,200,0,0.9840999,0,
5,1000,-200.0,200,0,0.9801199,1,0.41255244612693787
6,1200,-200.0,200,0,0.9761399,201,0.0002788184501696378
7,1400,-200.0,200,0,0.9721599,401,0.00025728688342496753
8,1600,-200.0,200,0,0.9681799,601,0.00032105884747579694
9,1800,-200.0,200,0,0.9641999,801,0.00039161130553111434
10,2000,-200.0,200,0,0.9602199,1001,0.00027274867170490324
11,2200,-200.0,200,0,0.9562399,1201,0.00025689482572488487
12,2400,-200.0,200,0,0.9522599,1401,0.0002541873254813254
13,2600,-200.0,200,0,0.9482799,1601,0.0003492719552014023
14,2800,-200.0,200,0,0.9442999,1801,0.0003706632705871016
15,3000,-200.0,200,0,0.9403199,2001,0.00046994700096547604
16,3200,-200.0,200,0,0.9363399,2201,0.0003685398551169783
17,3400,-200.0,200,0,0.9323599,2401,0.00035493934410624206
18,3600,-200.0,200,0,0.9283799,2601,0.0004985311534255743
19,3800,-200.0,200,0,0.9243999,2801,0.000592786178458482
20,4000,-200.0,200,0,0.9204199,3001,0.0003885426267515868
21,4200,-200.0,200,0,0.9164399,3201,0.0005252722185105085
22,4400,-200.0,200,0,0.9124599,3401,0.0003380206471774727
23,4600,-200.0,200,0,0.9084799,3601,0.00040301226545125246
24,4800,-200.0,200,0,0.9044999,3801,0.00040304765570908785
25,5000,-200.0,200,0,0.9005199,4001,0.00037738768151029944
26,5200,-200.0,200,0,0.8965399000000001,4201,0.00034614099422469735
27,5400,-200.0,200,0,0.8925599,4401,0.0003503341577015817
28,5600,-200.0,200,0,0.8885799,4601,0.0002469334867782891
29,5800,-200.0,200,0,0.8845999,4801,0.0003479019505903125
30,6000,-200.0,200,0,0.8806199,5001,0.0002407681313343346
31,6200,-200.0,200,0,0.8766399,5201,0.00017881195526570082
32,6400,-200.0,200,0,0.8726598999999999,5401,0.00014319628826342523
33,6600,-200.0,200,0,0.8686799000000001,5601,0.00012396670354064554
34,6800,-200.0,200,0,0.8646999,5801,7.097233174135908e-05
35,7000,-200.0,200,0,0.8607199,6001,9.013853559736162e-05
36,7200,-200.0,200,0,0.8567399,6201,3.9397404179908335e-05
37,7400,-200.0,200,0,0.8527599,6401,3.439375359448604e-05
38,7600,-200.0,200,0,0.8487799,6601,3.7217010685708374e-05
39,7800,-200.0,200,0,0.8447998999999999,6801,1.970055018318817e-05
40,8000,-200.0,200,0,0.8408199,7001,1.1754157640098128e-05
41,8200,-200.0,200,0,0.8368399,7201,1.267843799723778e-05
42,8400,-200.0,200,0,0.8328599,7401,1.0409172318759374e-05
43,8600,-200.0,200,0,0.8288799,7601,8.528660146112088e-06
44,8800,-200.0,200,0,0.8248999,7801,7.900671334937215e-06
45,9000,-200.0,200,0,0.8209199,8001,5.837489879922941e-06
46,9200,-200.0,200,0,0.8169398999999999,8201,6.443522579502314e-06
47,9400,-200.0,200,0,0.8129599,8401,3.835459210677072e-06
48,9600,-200.0,200,0,0.8089799,8601,4.758141130878357e-06
49,9800,-200.0,200,0,0.8049999,8801,8.542343493900262e-06
50,10000,-200.0,200,0,0.8010199,9001,7.933735105325468e-06
51,10200,-200.0,200,0,0.7970399,9201,8.050464202824514e-06
52,10400,-200.0,200,0,0.7930599,9401,5.7854040278471075e-06
53,10600,-200.0,200,0,0.7890799,9601,9.971447070711292e-06
54,10800,-200.0,200,0,0.7850999,9801,6.544142252096208e-06
55,11000,-200.0,200,0,0.7811199,10001,4.574949343805201e-06
56,11200,-200.0,200,0,0.7771399,10201,4.101288595848018e-06
57,11400,-200.0,200,0,0.7731599,10401,2.96480084216455e-06
58,11600,-200.0,200,0,0.7691799,10601,2.3542365852335934e-06
59,11800,-200.0,200,0,0.7651999,10801,3.795413022089633e-06
60,12000,-200.0,200,0,0.7612199,11001,1.987018094951054e-06
61,12200,-200.0,200,0,0.7572399,11201,6.925658908585319e-06
62,12400,-200.0,200,0,0.7532599,11401,2.8784884307242464e-06
63,12600,-200.0,200,0,0.7492799,11601,1.0399544407846406e-06
64,12800,-200.0,200,0,0.7452999,11801,6.323257366602775e-07
65,13000,-200.0,200,0,0.7413199,12001,2.7554938242246863e-06
66,13200,-200.0,200,0,0.7373399,12201,2.170049356209347e-06
67,13400,-200.0,200,0,0.7333599,12401,9.228338058164809e-07
68,13600,-200.0,200,0,0.7293799000000001,12601,1.3045655578025617e-06
69,13800,-200.0,200,0,0.7253999,12801,1.451831849408336e-06
70,14000,-200.0,200,0,0.7214199,13001,1.9275689737696666e-06
71,14200,-200.0,200,0,0.7174399,13201,3.6551346056512557e-06
72,14400,-200.0,200,0,0.7134598999999999,13401,2.088549990730826e-06
73,14600,-200.0,200,0,0.7094799,13601,1.8260225260746665e-06
74,14800,-200.0,200,0,0.7054999,13801,1.7985053091251757e-06
75,15000,-200.0,200,0,0.7015199,14001,2.2177914615895133e-06
76,15200,-200.0,200,0,0.6975399,14201,1.4445431588683277e-06
77,15400,-200.0,200,0,0.6935599,14401,2.3996117306523956e-06
78,15600,-200.0,200,0,0.6895799,14601,7.720364010310732e-07
79,15800,-200.0,200,0,0.6855999,14801,8.199731382774189e-07
80,16000,-200.0,200,0,0.6816199000000001,15001,8.898250598576851e-07
81,16200,-200.0,200,0,0.6776399,15201,6.034229045326356e-07
82,16400,-200.0,200,0,0.6736599000000001,15401,3.981890586146619e-07
83,16600,-200.0,200,0,0.6696799,15601,2.4002283680601977e-06
84,16800,-200.0,200,0,0.6656999,15801,8.722795428184327e-07
85,17000,-200.0,200,0,0.6617199,16001,4.0301574699697085e-07
86,17200,-200.0,200,0,0.6577398999999999,16201,7.700041351199616e-07
87,17400,-200.0,200,0,0.6537599000000001,16401,7.570602065243293e-07
88,17600,-200.0,200,0,0.6497799,16601,2.1067271518404596e-06
89,17800,-200.0,200,0,0.6457999,16801,1.542860900372034e-06
90,18000,-200.0,200,0,0.6418199,17001,1.967736807273468e-06
91,18200,-200.0,200,0,0.6378398999999999,17201,2.887345544877462e-07
92,18400,-200.0,200,0,0.6338599,17401,2.0498928279266693e-06
93,18600,-200.0,200,0,0.6298799,17601,1.4920351532055065e-06
94,18800,-200.0,200,0,0.6258999000000001,17801,6.738482625223696e-07
95,19000,-200.0,200,0,0.6219199,18001,1.4158013073028997e-07
96,19200,-200.0,200,0,0.6179399,18201,2.723909346968867e-07
97,19400,-200.0,200,0,0.6139599,18401,9.213122211804148e-07
98,19600,-200.0,200,0,0.6099799,18601,8.986830835056026e-07
99,19800,-200.0,200,0,0.6059999,18801,7.650191946595442e-07
100,20000,-200.0,200,0,0.6020198999999999,19001,5.790361683466472e-07
101,20200,-200.0,200,0,0.5980399000000001,19201,3.962850314565003e-07
102,20400,-200.0,200,0,0.5940599,19401,3.8190819395822473e-07
103,20600,-200.0,200,0,0.5900799,19601,1.5995592548279092e-06
104,20800,-200.0,200,0,0.5860999,19801,1.3785938790533692e-06
105,21000,-200.0,200,0,0.5821198999999999,20001,1.5973228073562495e-07
106,21200,-200.0,200,0,0.5781399,20201,7.432176971633453e-07
107,21400,-200.0,200,0,0.5741599,20401,4.0232362152892165e-07
108,21600,-200.0,200,0,0.5701799000000001,20601,5.288152351567987e-07
109,21800,-200.0,200,0,0.5661999,20801,7.600542630825657e-07
110,22000,-200.0,200,0,0.5622199,21001,3.597533577703871e-07
111,22200,-200.0,200,0,0.5582399,21201,2.535029580030823e-06
112,22400,-200.0,200,0,0.5542599,21401,1.1305887710477691e-06
113,22600,-200.0,200,0,0.5502799,21601,6.102914085204247e-07
114,22800,-200.0,200,0,0.5462999,21801,8.971287570602726e-07
115,23000,-200.0,200,0,0.5423199000000001,22001,1.8353421182837337e-07
116,23200,-200.0,200,0,0.5383399,22201,1.7741012925398536e-07
117,23400,-200.0,200,0,0.5343599,22401,1.1219890438951552e-07
118,23600,-200.0,200,0,0.5303799,22601,2.4961036615422927e-07
119,23800,-200.0,200,0,0.5263998999999999,22801,7.5620391726261e-08
120,24000,-200.0,200,0,0.5224199,23001,2.595258592918981e-06
121,24200,-200.0,200,0,0.5184399,23201,1.1004294719896279e-07
122,24400,-200.0,200,0,0.5144599,23401,7.859684956201818e-07
123,24600,-200.0,200,0,0.5104799,23601,2.3441357370757032e-06
124,24800,-200.0,200,0,0.5064999,23801,4.775583875016309e-07
125,25000,-200.0,200,0,0.5025199,24001,5.010078893974423e-07
126,25200,-200.0,200,0,0.49853990000000004,24201,3.0355918170243967e-06
127,25400,-200.0,200,0,0.49455990000000005,24401,2.2933227228350006e-07
128,25600,-200.0,200,0,0.49057989999999996,24601,9.68890162766911e-07
129,25800,-200.0,200,0,0.4865999,24801,7.568360160803422e-08
130,26000,-200.0,200,0,0.4826199,25001,3.9876977098174393e-07
131,26200,-200.0,200,0,0.4786399,25201,1.0753892638604157e-06
132,26400,-200.0,200,0,0.4746599,25401,1.1218771760468371e-06
133,26600,-200.0,200,0,0.47067990000000004,25601,7.931694199214689e-07
134,26800,-200.0,200,0,0.46669989999999995,25801,1.4884662959957495e-06
135,27000,-200.0,200,0,0.46271989999999996,26001,3.9060523704392835e-07
136,27200,-200.0,200,0,0.4587399,26201,1.5899563550192397e-06
137,27400,-200.0,200,0,0.4547599,26401,5.917236194363795e-07
138,27600,-200.0,200,0,0.4507799,26601,4.450221240404062e-07
139,27800,-200.0,200,0,0.4467999,26801,1.356865595880663e-06
140,28000,-200.0,200,0,0.44281989999999993,27001,7.580094006698346e-06
141,28200,-200.0,200,0,0.43883989999999995,27201,1.558990334160626e-06
142,28400,-200.0,200,0,0.43485989999999997,27401,3.1812505767447874e-06
143,28600,-200.0,200,0,0.4308799,27601,2.5162398742395453e-07
144,28800,-200.0,200,0,0.4268999,27801,1.3054582268523518e-06
145,29000,-200.0,200,0,0.4229198999999999,28001,7.401090442726854e-07
146,29200,-200.0,200,0,0.4189398999999999,28201,2.02981482289033e-07
147,29400,-200.0,200,0,0.41495990000000005,28401,6.69028395350324e-07
148,29600,-200.0,200,0,0.41097990000000006,28601,1.939279172802344e-05
149,29800,-200.0,200,0,0.4069999000000001,28801,1.6760045582486782e-06
150,30000,-200.0,200,0,0.4030199000000001,29001,2.3229858925333247e-06
