episode,env_step,return,length,success,epsilon,greedy_actions,exploratory_actions,condition_triggers,gradient_steps_so_far,latest_loss
79,15800,-200.0,200,0,0.6855999,64,136,0,14801,7.512511365348473e-05
80,16000,-200.0,200,0,0.6816199000000001,64,136,0,15001,6.166028015286429e-06
81,16200,-200.0,200,0,0.6776399,76,124,0,15201,5.274986688164063e-05
82,16400,-200.0,200,0,0.6736599000000001,64,136,0,15401,2.8515867597889155e-05
83,16600,-200.0,200,0,0.6696799,63,137,0,15601,7.74555064708693e-06
84,16800,-200.0,200,0,0.6656999,68,132,0,15801,3.580733755370602e-05
85,17000,-200.0,200,0,0.6617199,68,132,0,16001,6.842071888968349e-05
86,17200,-200.0,200,0,0.6577398999999999,68,132,0,16201,4.023238579975441e-05
87,17400,-200.0,200,0,0.6537599000000001,61,139,0,16401,7.24491837900132e-05
88,17600,-200.0,200,0,0.6497799,72,128,0,16601,3.8754027627874166e-05
89,17800,-200.0,200,0,0.6457999,71,129,0,16801,1.6099018466775306e-05
90,18000,-200.0,200,0,0.6418199,78,122,0,17001,9.653747838456184e-06
91,18200,-200.0,200,0,0.6378398999999999,66,134,0,17201,2.2963169612921774e-05
92,18400,-200.0,200,0,0.6338599,75,125,0,17401,6.490923624369316e-06
93,18600,-200.0,200,0,0.6298799,66,134,0,17601,3.08806229440961e-05
94,18800,-200.0,200,0,0.6258999000000001,67,133,0,17801,1.5434921806445345e-05
95,19000,-200.0,200,0,0.6219199,88,112,0,18001,2.3216300178319216e-05
96,19200,-200.0,200,0,0.6179399,76,124,0,18201,6.044237670721486e-05
97,19400,-200.0,200,0,0.6139599,68,132,0,18401,1.4188526620273478e-05
98,19600,-200.0,200,0,0.6099799,85,115,0,18601,3.556602314347401e-05
99,19800,-200.0,200,0,0.6059999,77,123,0,18801,3.826288229902275e-05
100,20000,-200.0,200,0,0.6020198999999999,85,115,0,19001,4.0434864786220714e-05
101,20200,-200.0,200,0,0.5980399000000001,91,109,0,19201,4.151074244873598e-05
102,20400,-200.0,200,0,0.5940599,81,119,0,19401,5.799791688332334e-05
103,20600,-200.0,200,0,0.5900799,86,114,0,19601,2.672522168722935e-05
104,20800,-200.0,200,0,0.5860999,78,122,0,19801,3.901179297827184e-05
105,21000,-200.0,200,0,0.5821198999999999,87,113,0,20001,2.158412098651752e-05
106,21200,-200.0,200,0,0.5781399,88,112,0,20201,4.63831820525229e-05
107,21400,-200.0,200,0,0.5741599,81,119,0,20401,3.177740654791705e-05
108,21600,-200.0,200,0,0.5701799000000001,85,115,0,20601,9.394817607244477e-05
109,21800,-200.0,200,0,0.5661999,87,113,0,20801,5.2870695071760565e-05
110,22000,-200.0,200,0,0.5622199,94,106,0,21001,5.2003884775331244e-05
111,22200,-200.0,200,0,0.5582399,90,110,0,21201,0.00011809068382717669
112,22400,-200.0,200,0,0.5542599,86,114,0,21401,1.6788306311354972e-05
113,22600,-200.0,200,0,0.5502799,82,118,0,21601,8.658583283249754e-06
114,22800,-200.0,200,0,0.5462999,82,118,0,21801,4.423851351020858e-05
115,23000,-200.0,200,0,0.5423199000000001,85,115,0,22001,1.952593811438419e-05
116,23200,-200.0,200,0,0.5383399,103,97,0,22201,7.067184924380854e-05
117,23400,-200.0,200,0,0.5343599,94,106,0,22401,2.138389572792221e-05
118,23600,-200.0,200,0,0.5303799,83,117,0,22601,8.153190719895065e-06
119,23800,-200.0,200,0,0.5263998999999999,82,118,0,22801,2.2158079445944168e-05
120,24000,-200.0,200,0,0.5224199,95,105,0,23001,1.6671277990099043e-05
121,24200,-200.0,200,0,0.5184399,89,111,0,23201,9.381335985381156e-05
