evaluation_episode,evaluation_seed,return,length,success
1,10000,-175.0,175,1
2,10001,-93.0,93,1
3,10002,-102.0,102,1
4,10003,-95.0,95,1
5,10004,-87.0,87,1
6,10005,-107.0,107,1
7,10006,-107.0,107,1
8,10007,-88.0,88,1
9,10008,-200.0,200,0
10,10009,-176.0,176,1
11,10010,-107.0,107,1
12,10011,-171.0,171,1
13,10012,-107.0,107,1
14,10013,-163.0,163,1
15,10014,-107.0,107,1
16,10015,-168.0,168,1
17,10016,-107.0,107,1
18,10017,-112.0,112,1
19,10018,-162.0,162,1
20,10019,-97.0,97,1
21,10020,-107.0,107,1
22,10021,-107.0,107,1
23,10022,-93.0,93,1
24,10023,-98.0,98,1
25,10024,-107.0,107,1
26,10025,-105.0,105,1
27,10026,-85.0,85,1
28,10027,-106.0,106,1
29,10028,-106.0,106,1
30,10029,-107.0,107,1
31,10030,-106.0,106,1
32,10031,-107.0,107,1
33,10032,-83.0,83,1
34,10033,-107.0,107,1
35,10034,-200.0,200,1
36,10035,-107.0,107,1
37,10036,-107.0,107,1
38,10037,-172.0,172,1
39,10038,-86.0,86,1
40,10039,-107.0,107,1
41,10040,-153.0,153,1
42,10041,-113.0,113,1
43,10042,-98.0,98,1
44,10043,-89.0,89,1
45,10044,-108.0,108,1
46,10045,-95.0,95,1
47,10046,-172.0,172,1
48,10047,-112.0,112,1
49,10048,-192.0,192,1
50,10049,-182.0,182,1
51,10050,-106.0,106,1
52,10051,-107.0,107,1
53,10052,-176.0,176,1
54,10053,-160.0,160,1
55,10054,-97.0,97,1
56,10055,-106.0,106,1
57,10056,-156.0,156,1
58,10057,-106.0,106,1
59,10058,-106.0,106,1
60,10059,-106.0,106,1
61,10060,-162.0,162,1
62,10061,-188.0,188,1
63,10062,-87.0,87,1
64,10063,-106.0,106,1
65,10064,-84.0,84,1
66,10065,-107.0,107,1
67,10066,-106.0,106,1
68,10067,-105.0,105,1
69,10068,-87.0,87,1
70,10069,-84.0,84,1
71,10070,-107.0,107,1
72,10071,-163.0,163,1
73,10072,-106.0,106,1
74,10073,-86.0,86,1
75,10074,-89.0,89,1
76,10075,-106.0,106,1
77,10076,-98.0,98,1
78,10077,-160.0,160,1
79,10078,-112.0,112,1
80,10079,-107.0,107,1
81,10080,-106.0,106,1
82,10081,-87.0,87,1
83,10082,-200.0,200,0
84,10083,-159.0,159,1
85,10084,-107.0,107,1
86,10085,-165.0,165,1
87,10086,-176.0,176,1
88,10087,-107.0,107,1
89,10088,-105.0,105,1
90,10089,-96.0,96,1
91,10090,-106.0,106,1
92,10091,-106.0,106,1
93,10092,-107.0,107,1
94,10093,-86.0,86,1
95,10094,-107.0,107,1
96,10095,-97.0,97,1
97,10096,-163.0,163,1
98,10097,-177.0,177,1
99,10098,-177.0,177,1
100,10099,-102.0,102,1
