episode,env_step,return,length,success,epsilon,greedy_actions,exploratory_actions,condition_triggers,gradient_steps_so_far,latest_loss
70,14000,-200.0,200,0,0.7214199,58,142,0,13001,1.8238142729387619e-07
71,14200,-200.0,200,0,0.7174399,78,122,0,13201,1.896141839097254e-07
72,14400,-200.0,200,0,0.7134598999999999,45,155,0,13401,2.2229903606785228e-07
73,14600,-200.0,200,0,0.7094799,59,141,0,13601,2.834619863278931e-07
74,14800,-200.0,200,0,0.7054999,63,137,0,13801,3.57926296601363e-07
75,15000,-200.0,200,0,0.7015199,53,147,0,14001,1.6820195014588535e-07
76,15200,-200.0,200,0,0.6975399,51,149,0,14201,1.9741310097742826e-07
77,15400,-200.0,200,0,0.6935599,67,133,0,14401,2.055874119832879e-07
78,15600,-200.0,200,0,0.6895799,53,147,0,14601,2.6042187073471723e-07
79,15800,-200.0,200,0,0.6855999,58,142,0,14801,1.780156253516907e-07
80,16000,-200.0,200,0,0.6816199000000001,68,132,0,15001,2.0313382265157998e-07
81,16200,-200.0,200,0,0.6776399,72,128,0,15201,2.8362683224258944e-07
82,16400,-200.0,200,0,0.6736599000000001,70,130,0,15401,4.420620598466485e-07
83,16600,-200.0,200,0,0.6696799,64,136,0,15601,1.7689581000013277e-07
84,16800,-200.0,200,0,0.6656999,60,140,0,15801,2.38087181969604e-07
85,17000,-200.0,200,0,0.6617199,54,146,0,16001,3.5741697956837015e-07
86,17200,-200.0,200,0,0.6577398999999999,60,140,0,16201,2.1006678707635729e-07
87,17400,-200.0,200,0,0.6537599000000001,66,134,0,16401,2.4658345409989124e-07
88,17600,-200.0,200,0,0.6497799,71,129,0,16601,1.7654394923738437e-07
89,17800,-200.0,200,0,0.6457999,75,125,0,16801,4.5061358378006844e-07
90,18000,-200.0,200,0,0.6418199,78,122,0,17001,4.70786176265392e-07
91,18200,-200.0,200,0,0.6378398999999999,62,138,0,17201,3.9091503367671976e-07
92,18400,-200.0,200,0,0.6338599,70,130,0,17401,1.7226443560502958e-07
93,18600,-200.0,200,0,0.6298799,74,126,0,17601,5.8889986576105e-07
94,18800,-200.0,200,0,0.6258999000000001,82,118,0,17801,6.761378017472452e-07
95,19000,-200.0,200,0,0.6219199,66,134,0,18001,1.7952845610125223e-07
96,19200,-200.0,200,0,0.6179399,66,134,0,18201,1.7540924091008492e-07
97,19400,-200.0,200,0,0.6139599,67,133,0,18401,3.0635465009254403e-07
98,19600,-200.0,200,0,0.6099799,92,108,0,18601,3.510260739858495e-07
99,19800,-200.0,200,0,0.6059999,93,107,0,18801,2.400112180112046e-07
100,20000,-200.0,200,0,0.6020198999999999,70,130,0,19001,5.448259798868094e-07
101,20200,-200.0,200,0,0.5980399000000001,83,117,0,19201,1.594807827132172e-06
102,20400,-200.0,200,0,0.5940599,74,126,0,19401,4.140812279729289e-07
103,20600,-200.0,200,0,0.5900799,87,113,0,19601,5.891362206966733e-07
104,20800,-200.0,200,0,0.5860999,75,125,0,19801,2.0677537122537615e-06
105,21000,-200.0,200,0,0.5821198999999999,85,115,0,20001,2.950297584902728e-06
106,21200,-200.0,200,0,0.5781399,93,107,0,20201,5.514330041478388e-06
107,21400,-200.0,200,0,0.5741599,94,106,0,20401,3.560483492037747e-06
108,21600,-200.0,200,0,0.5701799000000001,92,108,0,20601,2.466040541548864e-06
109,21800,-200.0,200,0,0.5661999,82,118,0,20801,2.3150710148911458e-06
110,22000,-200.0,200,0,0.5622199,86,114,0,21001,1.4791671674174722e-06
111,22200,-200.0,200,0,0.5582399,97,103,0,21201,1.4297197594714817e-06
112,22400,-200.0,200,0,0.5542599,93,107,0,21401,1.9200306269340217e-06
