episode,env_step,return,length,success,epsilon,gradient_steps_so_far,latest_loss
1,200,-200.0,200,0,0.0,0,
2,400,-200.0,200,0,0.0,0,
3,600,-200.0,200,0,0.0,0,
4,800,-200.0,200,0,0.0,0,
5,1000,-200.0,200,0,0.0,1,0.5020259022712708
6,1200,-200.0,200,0,0.0,201,4.331441959948279e-05
7,1400,-200.0,200,0,0.0,401,0.00014952599303796887
8,1600,-200.0,200,0,0.0,601,8.527735190000385e-05
9,1800,-200.0,200,0,0.0,801,5.969285120954737e-05
10,2000,-200.0,200,0,0.0,1001,2.306736132595688e-05
11,2200,-200.0,200,0,0.0,1201,2.4553810362704098e-05
12,2400,-200.0,200,0,0.0,1401,1.0173854207096156e-05
13,2600,-200.0,200,0,0.0,1601,2.569846219557803e-05
14,2800,-200.0,200,0,0.0,1801,8.55725556903053e-06
15,3000,-200.0,200,0,0.0,2001,2.8815196856157854e-05
16,3200,-200.0,200,0,0.0,2201,1.3129179023962934e-05
17,3400,-200.0,200,0,0.0,2401,1.6325440810760483e-05
18,3600,-200.0,200,0,0.0,2601,2.543155824241694e-05
19,3800,-200.0,200,0,0.0,2801,1.4661898603662848e-05
20,4000,-200.0,200,0,0.0,3001,3.997999374405481e-05
21,4200,-200.0,200,0,0.0,3201,1.6623294868622907e-05
22,4400,-200.0,200,0,0.0,3401,1.835306284192484e-05
23,4600,-200.0,200,0,0.0,3601,2.3561249690828845e-05
24,4800,-200.0,200,0,0.0,3801,2.588170173112303e-05
25,5000,-200.0,200,0,0.0,4001,6.184046469570603e-06
26,5200,-200.0,200,0,0.0,4201,2.900562685681507e-05
27,5400,-200.0,200,0,0.0,4401,1.153313132817857e-05
28,5600,-200.0,200,0,0.0,4601,2.7541262170416303e-05
29,5800,-200.0,200,0,0.0,4801,9.196771316055674e-06
30,6000,-200.0,200,0,0.0,5001,2.7640337066259235e-05
31,6200,-200.0,200,0,0.0,5201,1.0862674571399111e-05
32,6400,-200.0,200,0,0.0,5401,7.129126970539801e-06
33,6600,-200.0,200,0,0.0,5601,2.184749064326752e-05
34,6800,-200.0,200,0,0.0,5801,9.891930858429987e-06
35,7000,-200.0,200,0,0.0,6001,1.7934691641130485e-05
36,7200,-200.0,200,0,0.0,6201,1.2217806215630844e-05
37,7400,-200.0,200,0,0.0,6401,2.7940544896409847e-05
38,7600,-200.0,200,0,0.0,6601,1.170388532045763e-05
39,7800,-200.0,200,0,0.0,6801,2.0275649148970842e-05
