episode,env_step,return,length,success,epsilon,gradient_steps_so_far,latest_loss
1,200,0.0,200,0,0.9960399,0,
2,400,0.0,200,0,0.9920599,0,
3,600,0.0,200,0,0.9880799,0,
4,800,0.0,200,0,0.9840999,0,
5,1000,0.0,200,0,0.9801199,1,0.007843904197216034
6,1200,0.0,200,0,0.9761399,201,1.1251526075284346e-06
7,1400,0.0,200,0,0.9721599,401,2.838430077645171e-07
8,1600,0.0,200,0,0.9681799,601,1.0094318270148506e-07
9,1800,0.0,200,0,0.9641999,801,6.508440009156402e-08
10,2000,0.0,200,0,0.9602199,1001,2.5177888218763655e-08
11,2200,0.0,200,0,0.9562399,1201,3.737360287914271e-08
12,2400,0.0,200,0,0.9522599,1401,4.058158609154816e-08
13,2600,0.0,200,0,0.9482799,1601,4.232152406302703e-08
14,2800,0.0,200,0,0.9442999,1801,1.6569484273531998e-07
15,3000,0.0,200,0,0.9403199,2001,2.1003512529205182e-07
16,3200,0.0,200,0,0.9363399,2201,1.8270805313136407e-08
17,3400,0.0,200,0,0.9323599,2401,1.3776584317781726e-08
18,3600,0.0,200,0,0.9283799,2601,2.6036730105261086e-07
19,3800,0.0,200,0,0.9243999,2801,1.0367442904168911e-08
20,4000,0.0,200,0,0.9204199,3001,1.3328266490475471e-08
21,4200,0.0,200,0,0.9164399,3201,5.569427230511792e-08
22,4400,0.0,200,0,0.9124599,3401,1.5581370860218158e-08
23,4600,0.0,200,0,0.9084799,3601,5.2269964356810306e-08
24,4800,0.0,200,0,0.9044999,3801,2.1690546248009923e-08
25,5000,0.0,200,0,0.9005199,4001,4.521838903315256e-08
26,5200,0.0,200,0,0.8965399000000001,4201,8.554186692322219e-09
27,5400,0.0,200,0,0.8925599,4401,2.146450839290992e-07
28,5600,0.0,200,0,0.8885799,4601,1.318734454969217e-08
29,5800,0.0,200,0,0.8845999,4801,6.311777411838193e-08
30,6000,0.0,200,0,0.8806199,5001,3.318098151794402e-08
31,6200,0.0,200,0,0.8766399,5201,2.968516099599583e-08
32,6400,0.0,200,0,0.8726598999999999,5401,3.6489986143806163e-08
33,6600,0.0,200,0,0.8686799000000001,5601,2.963942691280863e-08
34,6800,0.0,200,0,0.8646999,5801,5.110947043363012e-08
35,7000,0.0,200,0,0.8607199,6001,1.022308140363748e-07
36,7200,0.0,200,0,0.8567399,6201,2.5570631834170854e-08
37,7400,0.0,200,0,0.8527599,6401,1.511405045562242e-08
38,7600,0.0,200,0,0.8487799,6601,1.1460023330300828e-07
39,7800,0.0,200,0,0.8447998999999999,6801,6.030294485981358e-09
40,8000,0.0,200,0,0.8408199,7001,2.1757125878707484e-08
41,8200,0.0,200,0,0.8368399,7201,1.7668813967475216e-08
42,8400,0.0,200,0,0.8328599,7401,4.8569246402507815e-09
43,8600,0.0,200,0,0.8288799,7601,2.0639942022171454e-07
44,8800,0.0,200,0,0.8248999,7801,1.2837934093568037e-07
45,9000,0.0,200,0,0.8209199,8001,3.33348779690823e-08
