episode,env_step,return,length,success,epsilon,gradient_steps_so_far,latest_loss
1,200,-200.0,200,0,0.0,0,
2,400,-200.0,200,0,0.0,0,
3,600,-200.0,200,0,0.0,0,
4,800,-200.0,200,0,0.0,0,
5,1000,-200.0,200,0,0.0,1,0.5013094544410706
6,1136,-136.0,136,1,0.0,137,0.003288270439952612
7,1336,-200.0,200,0,0.0,337,0.0021491071674972773
8,1536,-200.0,200,0,0.0,537,0.007785143796354532
9,1736,-200.0,200,0,0.0,737,0.0008461688412353396
10,1936,-200.0,200,0,0.0,937,0.006217888556420803
11,2136,-200.0,200,0,0.0,1137,0.0075597744435071945
12,2336,-200.0,200,0,0.0,1337,0.002328242175281048
13,2536,-200.0,200,0,0.0,1537,0.000816785148344934
14,2736,-200.0,200,0,0.0,1737,0.0026469489093869925
15,2936,-200.0,200,0,0.0,1937,0.005344334989786148
16,3136,-200.0,200,0,0.0,2137,0.004428173415362835
17,3336,-200.0,200,0,0.0,2337,0.0032001547515392303
18,3536,-200.0,200,0,0.0,2537,0.0004744176985695958
19,3736,-200.0,200,0,0.0,2737,0.00040577727486379445
20,3936,-200.0,200,0,0.0,2937,0.0020512486808001995
21,4136,-200.0,200,0,0.0,3137,0.0034759347327053547
22,4336,-200.0,200,0,0.0,3337,0.0046102204360067844
23,4536,-200.0,200,0,0.0,3537,0.0028611167799681425
24,4736,-200.0,200,0,0.0,3737,0.0017809222918003798
25,4936,-200.0,200,0,0.0,3937,0.0008087272872217
26,5136,-200.0,200,0,0.0,4137,0.0003612349391914904
27,5336,-200.0,200,0,0.0,4337,0.0012587173841893673
28,5536,-200.0,200,0,0.0,4537,0.003048220882192254
29,5736,-200.0,200,0,0.0,4737,0.003037359332665801
30,5936,-200.0,200,0,0.0,4937,0.0038566377479583025
31,6136,-200.0,200,0,0.0,5137,0.0018723338143900037
32,6336,-200.0,200,0,0.0,5337,0.0010327829513698816
33,6536,-200.0,200,0,0.0,5537,0.0004650604969356209
34,6736,-200.0,200,0,0.0,5737,0.000733580207452178
35,6936,-200.0,200,0,0.0,5937,0.002111448673531413
36,7136,-200.0,200,0,0.0,6137,0.00198556506074965
37,7336,-200.0,200,0,0.0,6337,0.003063337877392769
38,7536,-200.0,200,0,0.0,6537,0.002421899000182748
39,7736,-200.0,200,0,0.0,6737,0.0016345439944416285
40,7936,-200.0,200,0,0.0,6937,0.0008050508331507444
41,8136,-200.0,200,0,0.0,7137,0.00039373329491354525
