evaluation_episode,evaluation_seed,return,length,success
1,10000,-158.0,158,1
2,10001,-195.0,195,1
3,10002,-168.0,168,1
4,10003,-179.0,179,1
5,10004,-93.0,93,1
6,10005,-113.0,113,1
7,10006,-113.0,113,1
8,10007,-95.0,95,1
9,10008,-162.0,162,1
10,10009,-159.0,159,1
11,10010,-113.0,113,1
12,10011,-157.0,157,1
13,10012,-113.0,113,1
14,10013,-155.0,155,1
15,10014,-113.0,113,1
16,10015,-157.0,157,1
17,10016,-113.0,113,1
18,10017,-164.0,164,1
19,10018,-155.0,155,1
20,10019,-174.0,174,1
21,10020,-113.0,113,1
22,10021,-113.0,113,1
23,10022,-199.0,199,1
24,10023,-172.0,172,1
25,10024,-114.0,114,1
26,10025,-167.0,167,1
27,10026,-87.0,87,1
28,10027,-113.0,113,1
29,10028,-113.0,113,1
30,10029,-114.0,114,1
31,10030,-113.0,113,1
32,10031,-114.0,114,1
33,10032,-85.0,85,1
34,10033,-113.0,113,1
35,10034,-162.0,162,1
36,10035,-114.0,114,1
37,10036,-113.0,113,1
38,10037,-158.0,158,1
39,10038,-91.0,91,1
40,10039,-114.0,114,1
41,10040,-151.0,151,1
42,10041,-164.0,164,1
43,10042,-173.0,173,1
44,10043,-101.0,101,1
45,10044,-166.0,166,1
46,10045,-180.0,180,1
47,10046,-158.0,158,1
48,10047,-164.0,164,1
49,10048,-161.0,161,1
50,10049,-160.0,160,1
51,10050,-148.0,148,1
52,10051,-113.0,113,1
53,10052,-159.0,159,1
54,10053,-153.0,153,1
55,10054,-174.0,174,1
56,10055,-113.0,113,1
57,10056,-152.0,152,1
58,10057,-148.0,148,1
59,10058,-113.0,113,1
60,10059,-113.0,113,1
61,10060,-154.0,154,1
62,10061,-161.0,161,1
63,10062,-93.0,93,1
64,10063,-113.0,113,1
65,10064,-86.0,86,1
66,10065,-113.0,113,1
67,10066,-113.0,113,1
68,10067,-167.0,167,1
69,10068,-94.0,94,1
70,10069,-86.0,86,1
71,10070,-113.0,113,1
72,10071,-155.0,155,1
73,10072,-148.0,148,1
74,10073,-90.0,90,1
75,10074,-100.0,100,1
76,10075,-148.0,148,1
77,10076,-172.0,172,1
78,10077,-154.0,154,1
79,10078,-165.0,165,1
80,10079,-113.0,113,1
81,10080,-113.0,113,1
82,10081,-93.0,93,1
83,10082,-162.0,162,1
84,10083,-153.0,153,1
85,10084,-114.0,114,1
86,10085,-155.0,155,1
87,10086,-159.0,159,1
88,10087,-113.0,113,1
89,10088,-167.0,167,1
90,10089,-175.0,175,1
91,10090,-113.0,113,1
92,10091,-148.0,148,1
93,10092,-114.0,114,1
94,10093,-91.0,91,1
95,10094,-113.0,113,1
96,10095,-173.0,173,1
97,10096,-155.0,155,1
98,10097,-159.0,159,1
99,10098,-159.0,159,1
100,10099,-168.0,168,1
