evaluation_episode,evaluation_seed,return,length,success
1,10000,-159.0,159,1
2,10001,-107.0,107,1
3,10002,-171.0,171,1
4,10003,-130.0,130,1
5,10004,-90.0,90,1
6,10005,-147.0,147,1
7,10006,-146.0,146,1
8,10007,-91.0,91,1
9,10008,-166.0,166,1
10,10009,-160.0,160,1
11,10010,-146.0,146,1
12,10011,-158.0,158,1
13,10012,-145.0,145,1
14,10013,-154.0,154,1
15,10014,-146.0,146,1
16,10015,-156.0,156,1
17,10016,-145.0,145,1
18,10017,-165.0,165,1
19,10018,-154.0,154,1
20,10019,-186.0,186,1
21,10020,-145.0,145,1
22,10021,-146.0,146,1
23,10022,-106.0,106,1
24,10023,-179.0,179,1
25,10024,-145.0,145,1
26,10025,-168.0,168,1
27,10026,-86.0,86,1
28,10027,-148.0,148,1
29,10028,-148.0,148,1
30,10029,-145.0,145,1
31,10030,-148.0,148,1
32,10031,-145.0,145,1
33,10032,-84.0,84,1
34,10033,-146.0,146,1
35,10034,-165.0,165,1
36,10035,-145.0,145,1
37,10036,-145.0,145,1
38,10037,-158.0,158,1
39,10038,-88.0,88,1
40,10039,-145.0,145,1
41,10040,-152.0,152,1
42,10041,-164.0,164,1
43,10042,-181.0,181,1
44,10043,-95.0,95,1
45,10044,-166.0,166,1
46,10045,-123.0,123,1
47,10046,-158.0,158,1
48,10047,-165.0,165,1
49,10048,-164.0,164,1
50,10049,-161.0,161,1
51,10050,-149.0,149,1
52,10051,-147.0,147,1
53,10052,-159.0,159,1
54,10053,-153.0,153,1
55,10054,-186.0,186,1
56,10055,-148.0,148,1
57,10056,-151.0,151,1
58,10057,-150.0,150,1
59,10058,-148.0,148,1
60,10059,-148.0,148,1
61,10060,-153.0,153,1
62,10061,-164.0,164,1
63,10062,-89.0,89,1
64,10063,-148.0,148,1
65,10064,-84.0,84,1
66,10065,-146.0,146,1
67,10066,-148.0,148,1
68,10067,-168.0,168,1
69,10068,-90.0,90,1
70,10069,-85.0,85,1
71,10070,-146.0,146,1
72,10071,-154.0,154,1
73,10072,-149.0,149,1
74,10073,-88.0,88,1
75,10074,-94.0,94,1
76,10075,-149.0,149,1
77,10076,-179.0,179,1
78,10077,-153.0,153,1
79,10078,-165.0,165,1
80,10079,-147.0,147,1
81,10080,-148.0,148,1
82,10081,-89.0,89,1
83,10082,-166.0,166,1
84,10083,-152.0,152,1
85,10084,-145.0,145,1
86,10085,-155.0,155,1
87,10086,-160.0,160,1
88,10087,-147.0,147,1
89,10088,-167.0,167,1
90,10089,-192.0,192,1
91,10090,-148.0,148,1
92,10091,-149.0,149,1
93,10092,-145.0,145,1
94,10093,-88.0,88,1
95,10094,-146.0,146,1
96,10095,-182.0,182,1
97,10096,-154.0,154,1
98,10097,-160.0,160,1
99,10098,-160.0,160,1
100,10099,-170.0,170,1
