method,n_seeds,mean_return_mean,mean_return_std,mean_return_ci95_low,mean_return_ci95_high,success_rate_mean,success_rate_std,success_rate_ci95_low,success_rate_ci95_high,mean_episode_length_mean,mean_episode_length_std,mean_episode_length_ci95_low,mean_episode_length_ci95_high
dynamic_condition,5,-150.318,30.281566505053863,-176.47600000000003,-129.93400000000003,0.798,0.4461165766926846,0.398,1.0,150.318,30.281566505053863,129.93400000000003,176.476
fixed_freq_1,5,-162.496,34.28613466111337,-188.098,-136.894,0.568,0.5226088403385462,0.16799999999999998,0.968,162.496,34.28613466111337,136.894,188.098
fixed_freq_4,5,-188.192,26.403490678317514,-200.0,-164.57600000000002,0.198,0.4427414595449584,0.0,0.594,188.192,26.403490678317514,164.57600000000002,200.0
fixed_freq_8,5,-168.31199999999998,29.106761585583513,-190.31,-146.314,0.594,0.542383628071497,0.194,0.994,168.31199999999998,29.106761585583513,146.314,190.31
fixed_freq_16,5,-147.77799999999996,34.82575871391749,-178.286,-122.304,0.798,0.4461165766926846,0.398,1.0,147.77799999999996,34.82575871391749,122.304,177.3
fixed_freq_32,5,-122.508,10.306659012502543,-130.45999999999998,-114.71,0.998,0.004472135954999584,0.994,1.0,122.508,10.306659012502543,114.71,130.45999999999998
