episode,env_step,return,length,success,epsilon,gradient_steps_so_far,latest_loss
1,200,0.0,200,0,0.0,0,
2,400,0.0,200,0,0.0,0,
3,600,0.0,200,0,0.0,0,
4,800,0.0,200,0,0.0,0,
5,1000,0.0,200,0,0.0,1,4.0116529476108553e-07
6,1200,0.0,200,0,0.0,201,1.232782231852525e-08
7,1400,0.0,200,0,0.0,401,5.1022293057201296e-09
8,1600,0.0,200,0,0.0,601,4.9449946359914065e-09
9,1800,0.0,200,0,0.0,801,4.549199683623328e-09
10,2000,0.0,200,0,0.0,1001,3.3624090178818733e-09
11,2200,0.0,200,0,0.0,1201,3.5907508078025785e-09
12,2400,0.0,200,0,0.0,1401,4.382090246224379e-09
13,2600,0.0,200,0,0.0,1601,4.165098044239812e-09
14,2800,0.0,200,0,0.0,1801,4.867023228882772e-09
15,3000,0.0,200,0,0.0,2001,1.8211490093733573e-09
16,3200,0.0,200,0,0.0,2201,3.1707714231998807e-09
17,3400,0.0,200,0,0.0,2401,1.384869960929791e-07
18,3600,0.0,200,0,0.0,2601,3.912596024946424e-09
19,3800,0.0,200,0,0.0,2801,1.1208319605771067e-08
20,4000,0.0,200,0,0.0,3001,3.1794773480697813e-09
21,4200,0.0,200,0,0.0,3201,3.324734620946401e-08
22,4400,0.0,200,0,0.0,3401,2.0076782902833656e-08
23,4600,0.0,200,0,0.0,3601,4.145447007886105e-08
24,4800,0.0,200,0,0.0,3801,1.839134178283075e-09
25,5000,0.0,200,0,0.0,4001,1.6346781706033653e-08
26,5200,0.0,200,0,0.0,4201,4.854947555088529e-09
27,5400,0.0,200,0,0.0,4401,1.4229701150725305e-07
28,5600,0.0,200,0,0.0,4601,2.313756297667169e-09
29,5800,0.0,200,0,0.0,4801,8.004769291858338e-09
30,6000,0.0,200,0,0.0,5001,1.2340280797218384e-08
31,6200,0.0,200,0,0.0,5201,1.9635146841778806e-09
32,6400,0.0,200,0,0.0,5401,1.8635861742666293e-09
33,6600,0.0,200,0,0.0,5601,1.14785780880311e-08
34,6800,0.0,200,0,0.0,5801,1.2354338885245397e-08
35,7000,0.0,200,0,0.0,6001,8.081756419642261e-08
36,7200,0.0,200,0,0.0,6201,7.504621812870482e-09
37,7400,0.0,200,0,0.0,6401,2.5015576277098717e-09
38,7600,0.0,200,0,0.0,6601,1.2735918986095385e-08
39,7800,0.0,200,0,0.0,6801,1.0666084193644565e-07
40,8000,0.0,200,0,0.0,7001,2.0172965520259822e-09
41,8200,0.0,200,0,0.0,7201,3.384105440318308e-09
42,8400,0.0,200,0,0.0,7401,5.611376607816965e-08
43,8600,0.0,200,0,0.0,7601,6.0543897673071e-10
44,8800,0.0,200,0,0.0,7801,2.612702498794306e-09
45,9000,0.0,200,0,0.0,8001,1.171341867944875e-08
46,9200,0.0,200,0,0.0,8201,5.8217706211394216e-09
47,9400,0.0,200,0,0.0,8401,1.7002435015456285e-07
48,9600,0.0,200,0,0.0,8601,5.275992087661052e-09
49,9800,0.0,200,0,0.0,8801,7.488673681166347e-09
50,10000,0.0,200,0,0.0,9001,3.535110870700464e-09
51,10200,0.0,200,0,0.0,9201,3.0823021912596005e-10
52,10400,0.0,200,0,0.0,9401,1.0975828024228917e-09
53,10600,0.0,200,0,0.0,9601,1.058031262601844e-08
54,10800,0.0,200,0,0.0,9801,2.0292727498372187e-08
55,11000,0.0,200,0,0.0,10001,8.988252919728268e-10
56,11200,0.0,200,0,0.0,10201,1.5276720999324311e-09
57,11400,0.0,200,0,0.0,10401,6.596708179706923e-10
58,11600,0.0,200,0,0.0,10601,1.289184492492268e-08
59,11800,0.0,200,0,0.0,10801,6.880553460320016e-09
60,12000,0.0,200,0,0.0,11001,2.3649084912591434e-09
61,12200,0.0,200,0,0.0,11201,2.546442878781363e-08
62,12400,0.0,200,0,0.0,11401,6.326069268425272e-08
63,12600,0.0,200,0,0.0,11601,1.0588184551352242e-07
64,12800,0.0,200,0,0.0,11801,1.534633931044027e-08
65,13000,0.0,200,0,0.0,12001,1.1475127514870564e-08
66,13200,0.0,200,0,0.0,12201,1.4210861820629361e-08
67,13400,0.0,200,0,0.0,12401,1.2920521541559538e-08
68,13600,0.0,200,0,0.0,12601,3.225360423186885e-09
69,13800,0.0,200,0,0.0,12801,4.770287720390343e-09
70,14000,0.0,200,0,0.0,13001,3.464211317805166e-08
71,14200,0.0,200,0,0.0,13201,5.13347586661439e-09
72,14400,0.0,200,0,0.0,13401,2.35327823894238e-09
73,14600,0.0,200,0,0.0,13601,1.2658525339048765e-09
74,14800,0.0,200,0,0.0,13801,9.775313003501651e-09
75,15000,0.0,200,0,0.0,14001,2.4479527738208162e-08
76,15200,0.0,200,0,0.0,14201,1.8077663810345257e-09
77,15400,0.0,200,0,0.0,14401,3.1256104371379934e-09
78,15600,0.0,200,0,0.0,14601,1.465152887902832e-09
79,15800,0.0,200,0,0.0,14801,3.8021857884373844e-10
80,16000,0.0,200,0,0.0,15001,1.1232548224882066e-09
81,16200,0.0,200,0,0.0,15201,1.5259878693996143e-08
82,16400,0.0,200,0,0.0,15401,3.772011869518366e-10
83,16600,0.0,200,0,0.0,15601,1.4182935936801755e-09
84,16800,0.0,200,0,0.0,15801,4.482205162581465e-10
85,17000,0.0,200,0,0.0,16001,2.4321217040323972e-08
86,17200,0.0,200,0,0.0,16201,5.336515673803888e-10
87,17400,0.0,200,0,0.0,16401,5.274742309602232e-10
88,17600,0.0,200,0,0.0,16601,1.5062086022865628e-09
89,17800,0.0,200,0,0.0,16801,7.735854623547311e-09
