episode,env_step,return,length,success,epsilon,gradient_steps_so_far,latest_loss
1,200,0.0,200,0,0.0,0,
2,400,0.0,200,0,0.0,0,
3,600,0.0,200,0,0.0,0,
4,800,0.0,200,0,0.0,0,
5,1000,0.0,200,0,0.0,1,8.972643854576745e-07
6,1200,0.0,200,0,0.0,201,5.185033735699562e-09
7,1400,0.0,200,0,0.0,401,4.117137741843635e-09
8,1600,0.0,200,0,0.0,601,5.243337763971567e-09
9,1800,0.0,200,0,0.0,801,2.1916495285267956e-09
10,2000,0.0,200,0,0.0,1001,2.2714270464518904e-09
11,2200,0.0,200,0,0.0,1201,4.877961923277496e-10
12,2400,0.0,200,0,0.0,1401,1.5139443032552435e-09
13,2600,0.0,200,0,0.0,1601,1.4746319720870815e-09
14,2800,0.0,200,0,0.0,1801,4.615102522365078e-09
15,3000,0.0,200,0,0.0,2001,2.047404246141582e-09
16,3200,0.0,200,0,0.0,2201,4.934717967586266e-09
17,3400,0.0,200,0,0.0,2401,3.4061924392148057e-09
18,3600,0.0,200,0,0.0,2601,7.472516827533582e-09
19,3800,0.0,200,0,0.0,2801,1.7245547212496604e-08
20,4000,0.0,200,0,0.0,3001,7.075698249536799e-09
21,4200,0.0,200,0,0.0,3201,8.273091545163425e-09
22,4400,0.0,200,0,0.0,3401,6.941647257008299e-09
23,4600,0.0,200,0,0.0,3601,5.805370850708869e-09
24,4800,0.0,200,0,0.0,3801,2.0184980353832316e-09
25,5000,0.0,200,0,0.0,4001,2.7059268159490557e-09
26,5200,0.0,200,0,0.0,4201,2.0331629713155053e-09
27,5400,0.0,200,0,0.0,4401,1.6804458935482103e-09
28,5600,0.0,200,0,0.0,4601,1.1520391307584532e-09
29,5800,0.0,200,0,0.0,4801,2.990267811142644e-09
30,6000,0.0,200,0,0.0,5001,3.968013029265194e-09
31,6200,0.0,200,0,0.0,5201,4.601391268010957e-09
32,6400,0.0,200,0,0.0,5401,6.031560251251733e-10
33,6600,0.0,200,0,0.0,5601,4.917545926019784e-09
34,6800,0.0,200,0,0.0,5801,1.5259483676643981e-09
35,7000,0.0,200,0,0.0,6001,3.7505890060351987e-10
36,7200,0.0,200,0,0.0,6201,5.629571808718481e-10
37,7400,0.0,200,0,0.0,6401,1.1220757656360547e-09
38,7600,0.0,200,0,0.0,6601,8.31235802412067e-10
39,7800,0.0,200,0,0.0,6801,8.98898566692452e-10
40,8000,0.0,200,0,0.0,7001,8.216844427089143e-10
41,8200,0.0,200,0,0.0,7201,8.277678098522756e-09
42,8400,0.0,200,0,0.0,7401,2.356669304148795e-10
43,8600,0.0,200,0,0.0,7601,8.154644737246031e-10
44,8800,0.0,200,0,0.0,7801,1.2709287788847945e-10
45,9000,0.0,200,0,0.0,8001,2.928038367322472e-10
46,9200,0.0,200,0,0.0,8201,2.2827531531710576e-10
47,9400,0.0,200,0,0.0,8401,1.9133136741622536e-10
48,9600,0.0,200,0,0.0,8601,2.8799279627733654e-10
49,9800,0.0,200,0,0.0,8801,4.335554582013401e-09
50,10000,0.0,200,0,0.0,9001,2.253858072398529e-10
51,10200,0.0,200,0,0.0,9201,2.162924284121459e-09
52,10400,0.0,200,0,0.0,9401,3.7942515795919007e-10
53,10600,0.0,200,0,0.0,9601,3.076149335257128e-09
54,10800,0.0,200,0,0.0,9801,1.5784007434405112e-10
55,11000,0.0,200,0,0.0,10001,2.0589398630477262e-08
56,11200,0.0,200,0,0.0,10201,8.544752461148164e-09
57,11400,0.0,200,0,0.0,10401,3.262471626186425e-09
58,11600,0.0,200,0,0.0,10601,1.6299539495889803e-09
59,11800,0.0,200,0,0.0,10801,1.473733135526345e-09
60,12000,0.0,200,0,0.0,11001,7.446973593339123e-10
61,12200,0.0,200,0,0.0,11201,2.836992640808944e-09
62,12400,0.0,200,0,0.0,11401,2.381863151157404e-09
63,12600,0.0,200,0,0.0,11601,2.4612953897218404e-09
64,12800,0.0,200,0,0.0,11801,4.571999723257392e-11
65,13000,0.0,200,0,0.0,12001,2.0599838501667023e-10
66,13200,0.0,200,0,0.0,12201,2.107177543564376e-09
67,13400,0.0,200,0,0.0,12401,3.188998509706664e-10
68,13600,0.0,200,0,0.0,12601,1.2248124736657928e-09
69,13800,0.0,200,0,0.0,12801,7.692285919347341e-09
70,14000,0.0,200,0,0.0,13001,2.8817095931721326e-10
71,14200,0.0,200,0,0.0,13201,2.12104089847287e-09
72,14400,0.0,200,0,0.0,13401,4.3501260371670014e-09
73,14600,0.0,200,0,0.0,13601,4.971454359292693e-10
74,14800,0.0,200,0,0.0,13801,3.725463049164546e-09
75,15000,0.0,200,0,0.0,14001,3.2707461739001076e-10
76,15200,0.0,200,0,0.0,14201,1.743475808169137e-09
77,15400,0.0,200,0,0.0,14401,6.751940118121524e-10
78,15600,0.0,200,0,0.0,14601,7.868206641781228e-10
79,15800,0.0,200,0,0.0,14801,1.8930960965501953e-10
80,16000,0.0,200,0,0.0,15001,1.827117790398347e-09
81,16200,0.0,200,0,0.0,15201,3.390798475333412e-10
82,16400,0.0,200,0,0.0,15401,2.424233591646896e-10
83,16600,0.0,200,0,0.0,15601,4.00315836035503e-10
84,16800,0.0,200,0,0.0,15801,7.760408288204346e-11
85,17000,0.0,200,0,0.0,16001,4.303105441416655e-11
86,17200,0.0,200,0,0.0,16201,2.470472992843753e-10
87,17400,0.0,200,0,0.0,16401,5.292203134055207e-11
88,17600,0.0,200,0,0.0,16601,1.67144287299692e-09
89,17800,0.0,200,0,0.0,16801,3.8050984585424885e-08
90,18000,0.0,200,0,0.0,17001,3.6768812994303346e-10
