evaluation_episode,evaluation_seed,return,length,success
1,10000,-160.0,160,1
2,10001,-162.0,162,1
3,10002,-160.0,160,1
4,10003,-162.0,162,1
5,10004,-166.0,166,1
6,10005,-146.0,146,1
7,10006,-146.0,146,1
8,10007,-164.0,164,1
9,10008,-160.0,160,1
10,10009,-160.0,160,1
11,10010,-147.0,147,1
12,10011,-159.0,159,1
13,10012,-146.0,146,1
14,10013,-159.0,159,1
15,10014,-147.0,147,1
16,10015,-160.0,160,1
17,10016,-147.0,147,1
18,10017,-160.0,160,1
19,10018,-159.0,159,1
20,10019,-162.0,162,1
21,10020,-147.0,147,1
22,10021,-146.0,146,1
23,10022,-162.0,162,1
24,10023,-162.0,162,1
25,10024,-149.0,149,1
26,10025,-160.0,160,1
27,10026,-168.0,168,1
28,10027,-146.0,146,1
29,10028,-145.0,145,1
30,10029,-149.0,149,1
31,10030,-146.0,146,1
32,10031,-150.0,150,1
33,10032,-171.0,171,1
34,10033,-147.0,147,1
35,10034,-160.0,160,1
36,10035,-149.0,149,1
37,10036,-147.0,147,1
38,10037,-159.0,159,1
39,10038,-168.0,168,1
40,10039,-149.0,149,1
41,10040,-146.0,146,1
42,10041,-160.0,160,1
43,10042,-162.0,162,1
44,10043,-162.0,162,1
45,10044,-161.0,161,1
46,10045,-162.0,162,1
47,10046,-159.0,159,1
48,10047,-160.0,160,1
49,10048,-160.0,160,1
50,10049,-160.0,160,1
51,10050,-146.0,146,1
52,10051,-146.0,146,1
53,10052,-160.0,160,1
54,10053,-158.0,158,1
55,10054,-162.0,162,1
56,10055,-145.0,145,1
57,10056,-147.0,147,1
58,10057,-145.0,145,1
59,10058,-145.0,145,1
60,10059,-145.0,145,1
61,10060,-159.0,159,1
62,10061,-160.0,160,1
63,10062,-166.0,166,1
64,10063,-146.0,146,1
65,10064,-171.0,171,1
66,10065,-145.0,145,1
67,10066,-146.0,146,1
68,10067,-160.0,160,1
69,10068,-166.0,166,1
70,10069,-169.0,169,1
71,10070,-147.0,147,1
72,10071,-159.0,159,1
73,10072,-146.0,146,1
74,10073,-167.0,167,1
75,10074,-162.0,162,1
76,10075,-146.0,146,1
77,10076,-162.0,162,1
78,10077,-159.0,159,1
79,10078,-160.0,160,1
80,10079,-146.0,146,1
81,10080,-145.0,145,1
82,10081,-166.0,166,1
83,10082,-160.0,160,1
84,10083,-156.0,156,1
85,10084,-149.0,149,1
86,10085,-160.0,160,1
87,10086,-160.0,160,1
88,10087,-146.0,146,1
89,10088,-160.0,160,1
90,10089,-162.0,162,1
91,10090,-145.0,145,1
92,10091,-146.0,146,1
93,10092,-149.0,149,1
94,10093,-168.0,168,1
95,10094,-146.0,146,1
96,10095,-162.0,162,1
97,10096,-159.0,159,1
98,10097,-160.0,160,1
99,10098,-160.0,160,1
100,10099,-160.0,160,1
