episode,env_step,return,length,success,epsilon,gradient_steps_so_far,latest_loss
1,200,-200.0,200,0,0.0,0,
2,400,-200.0,200,0,0.0,0,
3,600,-200.0,200,0,0.0,0,
4,800,-200.0,200,0,0.0,0,
5,1000,-200.0,200,0,0.0,1,0.5002061724662781
6,1200,-200.0,200,0,0.0,201,0.0006814502412453294
7,1400,-200.0,200,0,0.0,401,0.0004742614983115345
8,1600,-200.0,200,0,0.0,601,0.00029215714312158525
9,1800,-200.0,200,0,0.0,801,0.0001177009180537425
10,2000,-200.0,200,0,0.0,1001,7.893619476817548e-05
11,2200,-200.0,200,0,0.0,1201,5.218358273850754e-05
12,2400,-200.0,200,0,0.0,1401,6.282150570768863e-05
13,2600,-200.0,200,0,0.0,1601,0.00011383821401977912
14,2800,-200.0,200,0,0.0,1801,5.034930654801428e-05
15,3000,-200.0,200,0,0.0,2001,2.6873194656218402e-05
16,3200,-200.0,200,0,0.0,2201,4.358226578915492e-05
17,3400,-200.0,200,0,0.0,2401,5.791949661215767e-05
18,3600,-200.0,200,0,0.0,2601,3.497746729408391e-05
19,3800,-200.0,200,0,0.0,2801,7.260091661009938e-05
20,4000,-200.0,200,0,0.0,3001,6.820326234446838e-05
21,4200,-200.0,200,0,0.0,3201,4.3193089368287474e-05
22,4400,-200.0,200,0,0.0,3401,0.00010900729103013873
23,4600,-200.0,200,0,0.0,3601,2.9044422262813896e-05
24,4800,-200.0,200,0,0.0,3801,7.080687646521255e-05
25,5000,-200.0,200,0,0.0,4001,8.989978232420981e-05
26,5200,-200.0,200,0,0.0,4201,8.577609696658328e-05
27,5400,-200.0,200,0,0.0,4401,6.576868327101693e-05
28,5600,-200.0,200,0,0.0,4601,0.00013530271826311946
29,5800,-200.0,200,0,0.0,4801,3.805471715168096e-05
30,6000,-200.0,200,0,0.0,5001,9.601561760064214e-05
31,6200,-200.0,200,0,0.0,5201,5.319860065355897e-05
32,6400,-200.0,200,0,0.0,5401,8.52683006087318e-05
33,6600,-200.0,200,0,0.0,5601,7.894889859016985e-05
34,6800,-200.0,200,0,0.0,5801,0.00010992392344633117
35,7000,-200.0,200,0,0.0,6001,8.407762652495876e-05
36,7200,-200.0,200,0,0.0,6201,0.00010446749365655705
37,7400,-200.0,200,0,0.0,6401,5.751089338446036e-05
38,7600,-200.0,200,0,0.0,6601,0.00013987762213218957
39,7800,-200.0,200,0,0.0,6801,6.708328146487474e-05
