episode,env_step,return,length,success,epsilon,greedy_actions,exploratory_actions,condition_triggers,gradient_steps_so_far,latest_loss
70,14000,-200.0,200,0,0.7214199,58,142,0,13001,4.307324843466631e-07
71,14200,-200.0,200,0,0.7174399,38,162,0,13201,3.6492792787612416e-07
72,14400,-200.0,200,0,0.7134598999999999,59,141,0,13401,3.795976226683706e-07
73,14600,-200.0,200,0,0.7094799,48,152,0,13601,5.543968200072413e-07
74,14800,-200.0,200,0,0.7054999,52,148,0,13801,4.2839815250772517e-07
75,15000,-200.0,200,0,0.7015199,60,140,0,14001,2.6272550712747034e-07
76,15200,-200.0,200,0,0.6975399,59,141,0,14201,3.788160256590345e-07
77,15400,-200.0,200,0,0.6935599,63,137,0,14401,5.380161383072846e-07
78,15600,-200.0,200,0,0.6895799,68,132,0,14601,2.809973693729262e-07
79,15800,-200.0,200,0,0.6855999,73,127,0,14801,4.058435933984583e-07
80,16000,-200.0,200,0,0.6816199000000001,70,130,0,15001,4.593035782818333e-07
81,16200,-200.0,200,0,0.6776399,65,135,0,15201,1.4809870663157199e-07
82,16400,-200.0,200,0,0.6736599000000001,60,140,0,15401,1.496445065640728e-07
83,16600,-200.0,200,0,0.6696799,70,130,0,15601,2.0645427412091522e-07
84,16800,-200.0,200,0,0.6656999,67,133,0,15801,1.0295991614839295e-07
85,17000,-200.0,200,0,0.6617199,70,130,0,16001,2.4372934603889007e-07
86,17200,-200.0,200,0,0.6577398999999999,72,128,0,16201,9.349218998977449e-08
87,17400,-200.0,200,0,0.6537599000000001,66,134,0,16401,1.777758598109358e-07
88,17600,-200.0,200,0,0.6497799,82,118,0,16601,1.160555029855459e-07
89,17800,-200.0,200,0,0.6457999,61,139,0,16801,7.778214694553753e-08
90,18000,-200.0,200,0,0.6418199,64,136,0,17001,4.0367581277678255e-08
91,18200,-200.0,200,0,0.6378398999999999,65,135,0,17201,3.685693172883475e-08
92,18400,-200.0,200,0,0.6338599,65,135,0,17401,4.496223482419737e-08
93,18600,-200.0,200,0,0.6298799,79,121,0,17601,7.807614110788563e-08
94,18800,-200.0,200,0,0.6258999000000001,79,121,0,17801,4.9997083806374576e-08
95,19000,-200.0,200,0,0.6219199,69,131,0,18001,2.051888259302359e-08
96,19200,-200.0,200,0,0.6179399,75,125,0,18201,2.2050130610296037e-08
97,19400,-200.0,200,0,0.6139599,80,120,0,18401,2.11132373806322e-08
98,19600,-200.0,200,0,0.6099799,81,119,0,18601,2.1986124920658767e-08
99,19800,-200.0,200,0,0.6059999,86,114,0,18801,1.4137981452222448e-08
100,20000,-200.0,200,0,0.6020198999999999,90,110,0,19001,1.5677755982324015e-08
101,20200,-200.0,200,0,0.5980399000000001,78,122,0,19201,1.5121145224838983e-08
102,20400,-200.0,200,0,0.5940599,84,116,0,19401,1.3008389032620471e-08
103,20600,-200.0,200,0,0.5900799,81,119,0,19601,1.0102098713105079e-08
104,20800,-200.0,200,0,0.5860999,84,116,0,19801,1.446812802896602e-08
105,21000,-200.0,200,0,0.5821198999999999,79,121,0,20001,2.412775756965857e-08
106,21200,-200.0,200,0,0.5781399,68,132,0,20201,1.6958892956608906e-08
107,21400,-200.0,200,0,0.5741599,86,114,0,20401,4.894752692052862e-08
108,21600,-200.0,200,0,0.5701799000000001,84,116,0,20601,2.8467866286518984e-08
109,21800,-200.0,200,0,0.5661999,87,113,0,20801,4.049672952533001e-08
110,22000,-200.0,200,0,0.5622199,84,116,0,21001,2.357778612349648e-07
111,22200,-200.0,200,0,0.5582399,85,115,0,21201,5.506399247678928e-08
112,22400,-200.0,200,0,0.5542599,98,102,0,21401,3.7407971831271425e-08
113,22600,-200.0,200,0,0.5502799,85,115,0,21601,3.786408342421055e-08
114,22800,-200.0,200,0,0.5462999,87,113,0,21801,2.874685378628783e-08
115,23000,-200.0,200,0,0.5423199000000001,89,111,0,22001,3.658306013676338e-08
116,23200,-200.0,200,0,0.5383399,97,103,0,22201,1.8105947674484923e-07
117,23400,-200.0,200,0,0.5343599,88,112,0,22401,8.596680345362984e-08
118,23600,-200.0,200,0,0.5303799,100,100,0,22601,3.879495125147514e-08
119,23800,-200.0,200,0,0.5263998999999999,107,93,0,22801,8.934875950217247e-08
120,24000,-200.0,200,0,0.5224199,104,96,0,23001,5.765618880104739e-07
121,24200,-200.0,200,0,0.5184399,90,110,0,23201,1.2556984074763022e-07
122,24400,-200.0,200,0,0.5144599,92,108,0,23401,9.638870324124582e-08
123,24600,-200.0,200,0,0.5104799,103,97,0,23601,2.469523678882979e-07
124,24800,-200.0,200,0,0.5064999,99,101,0,23801,7.911557986517437e-08
125,25000,-200.0,200,0,0.5025199,96,104,0,24001,6.942264008102939e-08
126,25200,-200.0,200,0,0.49853990000000004,104,96,0,24201,3.4201548260170966e-08
127,25400,-200.0,200,0,0.49455990000000005,90,110,0,24401,7.525477485614829e-08
128,25600,-200.0,200,0,0.49057989999999996,93,107,0,24601,5.792981028207578e-08
129,25800,-200.0,200,0,0.4865999,97,103,0,24801,3.541390469763428e-08
130,26000,-200.0,200,0,0.4826199,100,100,0,25001,1.2643295121961273e-07
